City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,72.86,85,9,8.23,EC,2022-04-28 23:38:37
1,Rikitea,-23.1203,-134.9692,77.38,64,21,18.39,PF,2022-04-28 23:33:08
2,Puerto Madryn,-42.7692,-65.0385,47.05,33,32,6.85,AR,2022-04-28 23:41:54
3,Caravelas,-17.7125,-39.2481,75.31,85,0,5.35,BR,2022-04-28 23:40:08
4,Punta Arenas,-53.15,-70.9167,42.91,81,40,21.85,CL,2022-04-28 23:41:55
5,Cap-Aux-Meules,47.3821,-61.8597,35.65,100,100,17.27,CA,2022-04-28 23:41:56
6,Hobart,-42.8794,147.3294,64.27,88,20,4.61,AU,2022-04-28 23:41:57
7,Bukama,-9.2,25.85,66.47,95,49,2.01,CD,2022-04-28 23:41:57
8,Ushuaia,-54.8,-68.3,40.66,87,40,25.32,AR,2022-04-28 23:41:58
9,Bluff,-46.6,168.3333,58.8,75,36,6.49,NZ,2022-04-28 23:41:58
10,Tortoli,39.9256,9.6572,58.82,31,0,13.8,IT,2022-04-28 23:41:59
11,Bolshaya Rechka,51.9503,104.7355,32.27,47,28,1.72,RU,2022-04-28 23:42:00
12,Lebu,-37.6167,-73.65,50.54,80,5,15.93,CL,2022-04-28 23:38:37
13,Bredasdorp,-34.5322,20.0403,56.66,94,70,5.68,ZA,2022-04-28 23:38:50
14,Aripuana,-9.1667,-60.6333,77.22,77,100,0.27,BR,2022-04-28 23:41:03
15,Mount Isa,-20.7333,139.5,82.17,57,29,12.66,AU,2022-04-28 23:42:01
16,Qaanaaq,77.484,-69.3632,22.84,94,98,8.08,GL,2022-04-28 23:35:46
17,Jamestown,42.097,-79.2353,44.24,36,0,10.36,US,2022-04-28 23:39:18
18,Faya,18.3851,42.4509,59.11,60,0,6.44,SA,2022-04-28 23:42:03
19,Albany,42.6001,-73.9662,47.62,27,13,1.01,US,2022-04-28 23:38:29
20,Dunedin,-45.8742,170.5036,59.81,62,1,2.73,NZ,2022-04-28 23:39:06
21,Geraldton,-28.7667,114.6,52.21,87,0,8.05,AU,2022-04-28 23:31:27
22,Busselton,-33.65,115.3333,56.48,74,28,4.94,AU,2022-04-28 23:42:04
23,Avarua,-21.2078,-159.775,82.45,74,20,17.27,CK,2022-04-28 23:33:13
24,Phetchabun,16.25,101.0833,73.67,71,100,2.28,TH,2022-04-28 23:42:05
25,Sept-Iles,50.2001,-66.3821,36.12,75,100,13.8,CA,2022-04-28 23:40:14
26,Villach,46.6103,13.8558,46.69,82,8,2.57,AT,2022-04-28 23:42:05
27,Mgandu,-5.95,34.1333,58.32,99,22,5.93,TZ,2022-04-28 23:42:06
28,Kaputa,-8.4689,29.6619,67.71,88,97,6.33,ZM,2022-04-28 23:42:07
29,Hithadhoo,-0.6,73.0833,84.83,69,76,7.38,MV,2022-04-28 23:38:33
30,Hasaki,35.7333,140.8333,59.4,76,92,15.05,JP,2022-04-28 23:42:07
31,Castro,-24.7911,-50.0119,63.32,91,67,3.94,BR,2022-04-28 23:35:59
32,Broken Hill,-31.95,141.4333,64.11,77,40,8.05,AU,2022-04-28 23:42:08
33,Aklavik,68.2191,-135.0107,23.0,68,40,8.05,CA,2022-04-28 23:39:10
34,Severodvinsk,64.5635,39.8302,30.11,87,68,8.97,RU,2022-04-28 23:42:09
35,Adrar,20.5022,-10.0711,75.45,12,0,8.3,MR,2022-04-28 23:42:10
36,Kerema,-7.9631,145.7785,83.28,72,99,3.83,PG,2022-04-28 23:42:11
37,Korsakovo,53.2677,37.3569,36.79,98,100,11.01,RU,2022-04-28 23:42:11
38,New Norfolk,-42.7826,147.0587,63.91,82,8,4.03,AU,2022-04-28 23:35:55
39,Saldanha,-33.0117,17.9442,60.85,92,22,12.06,ZA,2022-04-28 23:40:16
40,Sisimiut,66.9395,-53.6735,25.11,96,100,3.58,GL,2022-04-28 23:41:51
41,Trelew,-43.249,-65.3051,45.27,31,17,6.35,AR,2022-04-28 23:41:39
42,Jiuquan,39.7432,98.5174,48.18,25,100,16.11,CN,2022-04-28 23:33:17
43,Talnakh,69.4865,88.3972,16.21,87,100,1.32,RU,2022-04-28 23:42:13
44,Mae Sai,20.4335,99.8762,79.83,53,25,0.6,TH,2022-04-28 23:42:14
45,Lakes Entrance,-37.8811,147.981,68.16,64,14,5.08,AU,2022-04-28 23:42:15
46,Souillac,-20.5167,57.5167,71.98,94,40,3.44,MU,2022-04-28 23:41:18
47,Butaritari,3.0707,172.7902,81.97,79,99,16.17,KI,2022-04-28 23:43:16
48,Katsuura,35.1333,140.3,62.91,85,100,14.45,JP,2022-04-28 23:43:16
49,Kahului,20.8947,-156.47,89.62,59,40,19.57,US,2022-04-28 23:32:40
50,Pisco,-13.7,-76.2167,66.25,88,98,6.91,PE,2022-04-28 23:39:51
51,Port-Gentil,-0.7193,8.7815,80.56,89,75,4.61,GA,2022-04-28 23:43:18
52,Mitu,1.1983,-70.1733,73.27,96,80,0.78,CO,2022-04-28 23:36:04
53,Bairiki,1.3292,172.9752,84.2,74,75,13.8,KI,2022-04-28 23:43:19
54,Lagunas,-5.2269,-75.6753,73.96,98,97,3.11,PE,2022-04-28 23:43:19
55,Bowen,-20.0167,148.2333,77.34,77,70,14.41,AU,2022-04-28 23:43:04
56,Poniatowa,51.1798,22.1309,46.15,85,79,4.29,PL,2022-04-28 23:43:20
57,Acapulco,16.8634,-99.8901,85.82,70,0,8.05,MX,2022-04-28 23:40:01
58,Tuktoyaktuk,69.4541,-133.0374,12.2,79,100,13.8,CA,2022-04-28 23:30:06
59,Shingu,33.7333,135.9833,62.33,95,100,9.84,JP,2022-04-28 23:43:21
60,Hobyo,5.3505,48.5268,83.08,76,6,9.15,SO,2022-04-28 23:41:47
61,Cidreira,-30.1811,-50.2056,66.13,87,99,10.42,BR,2022-04-28 23:38:51
62,Changji,44.0167,87.3167,52.59,50,0,6.71,CN,2022-04-28 23:43:22
63,Pizarro,4.9533,-77.366,78.89,86,78,5.91,CO,2022-04-28 23:43:23
64,Igurusi,-8.85,33.85,61.34,95,59,2.17,TZ,2022-04-28 23:43:23
65,Kochubey,44.3861,46.5825,61.29,63,100,7.2,RU,2022-04-28 23:43:24
66,Sayyan,15.1718,44.3244,59.99,60,9,2.66,YE,2022-04-28 23:43:24
67,Naze,28.3667,129.4833,74.32,88,79,19.46,JP,2022-04-28 23:43:25
68,Kapaa,22.0752,-159.319,82.38,86,100,16.11,US,2022-04-28 23:34:31
69,Mogadishu,2.0371,45.3438,82.08,79,99,9.48,SO,2022-04-28 23:40:22
70,Isangel,-19.55,169.2667,74.37,91,100,17.72,VU,2022-04-28 23:43:26
71,Rocha,-34.4833,-54.3333,47.66,64,0,6.82,UY,2022-04-28 23:42:26
72,Guerrero Negro,27.9769,-114.0611,63.7,63,1,21.9,MX,2022-04-28 23:43:27
73,Korla,41.7597,86.1469,51.48,55,87,7.38,CN,2022-04-28 23:35:42
74,Forbes,-33.3833,148.0167,72.91,78,60,7.74,AU,2022-04-28 23:43:28
75,Esperance,-33.8667,121.9,51.64,68,84,13.53,AU,2022-04-28 23:43:28
76,Rock Springs,41.5875,-109.2029,63.05,24,100,18.41,US,2022-04-28 23:39:42
77,Xining,36.6167,101.7667,41.47,82,99,4.79,CN,2022-04-28 23:43:29
78,Dunda,-8.1167,34.25,61.47,93,38,3.44,TZ,2022-04-28 23:43:29
79,Pangnirtung,66.1451,-65.7125,17.71,79,100,9.26,CA,2022-04-28 23:37:20
80,Roblin,51.23,-101.3565,42.39,85,47,9.06,CA,2022-04-28 23:43:30
81,Currais Novos,-6.2608,-36.5178,73.98,84,75,14.9,BR,2022-04-28 23:42:21
82,Hofn,64.2539,-15.2082,45.18,63,7,9.46,IS,2022-04-28 23:43:31
83,Aksu,41.1231,80.2644,52.95,56,5,7.99,CN,2022-04-28 23:38:46
84,Qostanay,53.1667,63.5833,55.69,50,0,11.18,KZ,2022-04-28 23:43:32
85,Coquimbo,-29.9533,-71.3436,58.73,82,0,4.61,CL,2022-04-28 23:43:32
86,Lebanon,36.2081,-86.2911,77.22,67,98,0.74,US,2022-04-28 23:38:41
87,Grindavik,63.8424,-22.4338,48.15,93,75,13.8,IS,2022-04-28 23:41:31
88,Butterworth,5.3991,100.3638,78.85,94,20,0.0,MY,2022-04-28 23:43:34
89,Chokurdakh,70.6333,147.9167,5.07,92,86,3.94,RU,2022-04-28 23:34:07
90,Arraial Do Cabo,-22.9661,-42.0278,76.3,85,7,20.22,BR,2022-04-28 23:39:11
91,Olafsvik,64.8945,-23.7142,44.8,95,62,11.45,IS,2022-04-28 23:40:06
92,Vanimo,-2.6741,141.3028,85.32,66,100,1.07,PG,2022-04-28 23:43:35
93,Labranzagrande,5.5622,-72.575,68.79,97,99,0.98,CO,2022-04-28 23:44:36
94,Dakar,14.6937,-17.4441,72.48,88,0,6.91,SN,2022-04-28 23:44:36
95,Moerai,-22.4333,-151.3333,79.95,70,2,20.04,PF,2022-04-28 23:44:37
96,Havoysund,70.9963,24.6622,26.83,63,100,26.11,NO,2022-04-28 23:44:37
97,Lagoa,39.05,-27.9833,61.41,92,100,18.25,PT,2022-04-28 23:44:38
98,Longyearbyen,78.2186,15.6401,6.64,61,40,18.41,SJ,2022-04-28 23:42:02
99,Yulara,-25.2406,130.9889,73.24,40,100,10.36,AU,2022-04-28 23:36:03
100,Ribeira Grande,38.5167,-28.7,63.0,94,75,16.11,PT,2022-04-28 23:41:39
101,Vaini,-21.2,-175.2,82.56,61,40,12.66,TO,2022-04-28 23:44:39
102,Komsomolskiy,40.4272,71.7189,63.32,67,98,4.61,UZ,2022-04-28 23:44:40
103,Carnarvon,-24.8667,113.6333,60.87,72,0,12.66,AU,2022-04-28 23:44:40
104,Sabang,5.8933,95.3214,83.5,73,91,9.33,ID,2022-04-28 23:36:06
105,Correntina,-13.3433,-44.6367,71.85,43,0,3.13,BR,2022-04-28 23:44:41
106,Cape Town,-33.9258,18.4232,62.11,87,75,11.5,ZA,2022-04-28 23:33:24
107,Acarau,-2.8856,-40.12,77.22,88,58,8.81,BR,2022-04-28 23:40:35
108,East London,-33.0153,27.9116,66.31,46,4,8.21,ZA,2022-04-28 23:42:58
109,Jalingo,8.8833,11.3667,81.28,64,91,4.5,NG,2022-04-28 23:44:42
110,Boa Vista,2.8197,-60.6733,82.38,78,75,8.05,BR,2022-04-28 23:44:43
111,Batagay-Alyta,67.8006,130.4114,13.41,82,42,2.77,RU,2022-04-28 23:43:30
112,Kalia,23.0396,89.6328,79.14,94,7,7.61,BD,2022-04-28 23:44:44
113,Mount Gambier,-37.8333,140.7667,64.31,72,100,10.36,AU,2022-04-28 23:44:44
114,Hirara,24.8,125.2833,82.67,83,20,16.11,JP,2022-04-28 23:36:09
115,Yelizovo,53.1873,158.3805,42.12,65,75,15.99,RU,2022-04-28 23:40:42
116,Oil City,41.4339,-79.7064,47.79,25,0,8.05,US,2022-04-28 23:44:45
117,Shanghai,31.2222,121.4581,56.93,76,75,11.18,CN,2022-04-28 23:43:38
118,Cravo Norte,6.3017,-70.2041,84.67,59,92,4.79,CO,2022-04-28 23:44:46
119,Hermanus,-34.4187,19.2345,59.41,91,99,4.52,ZA,2022-04-28 23:44:47
120,Tautira,-17.7333,-149.15,80.64,74,25,21.36,PF,2022-04-28 23:42:55
121,Bengkulu,-3.8004,102.2655,77.9,83,100,3.83,ID,2022-04-28 23:38:34
122,Vizinga,61.0749,50.1031,22.08,87,36,3.56,RU,2022-04-28 23:44:48
123,Ponta Do Sol,32.6667,-17.1,64.71,81,96,4.14,PT,2022-04-28 23:44:49
124,Luderitz,-26.6481,15.1594,59.85,74,21,9.69,NA,2022-04-28 23:38:53
125,Gambela,8.25,34.5833,73.6,84,82,2.15,ET,2022-04-28 23:44:50
126,Okha,53.5739,142.9478,31.39,95,100,19.64,RU,2022-04-28 23:44:50
127,Chumikan,54.7183,135.315,36.75,53,75,11.25,RU,2022-04-28 23:44:51
128,Tabas,33.5959,56.9244,79.02,24,84,0.0,IR,2022-04-28 23:44:51
129,Ulladulla,-35.35,150.4667,68.9,63,2,6.69,AU,2022-04-28 23:44:52
130,Yellowknife,62.456,-114.3525,37.92,52,20,21.85,CA,2022-04-28 23:44:53
131,Monrovia,6.3005,-10.7969,79.45,79,70,2.68,LR,2022-04-28 23:44:31
132,Cayenne,4.9333,-52.3333,82.09,1,100,7.0,GF,2022-04-28 23:44:53
133,Verkhnevilyuysk,63.4453,120.3167,33.93,82,22,3.65,RU,2022-04-28 23:44:54
134,Kautokeino,69.0125,23.0412,18.88,84,96,13.96,NO,2022-04-28 23:44:55
135,Tuatapere,-46.1333,167.6833,55.62,72,46,3.33,NZ,2022-04-28 23:44:55
136,Belaya Gora,68.5333,146.4167,14.79,83,83,2.8,RU,2022-04-28 23:35:50
137,Port Elizabeth,-33.918,25.5701,59.31,74,0,4.61,ZA,2022-04-28 23:40:19
138,Mataura,-46.1927,168.8643,58.48,71,12,1.5,NZ,2022-04-28 23:44:56
139,Marsh Harbour,26.5412,-77.0636,75.15,65,8,0.85,BS,2022-04-28 23:44:57
140,Redmond,47.674,-122.1215,59.14,54,100,4.0,US,2022-04-28 23:41:34
141,Atuona,-9.8,-139.0333,78.82,77,71,19.37,PF,2022-04-28 23:44:58
142,Sola,-13.8833,167.55,81.16,73,100,5.3,VU,2022-04-28 23:44:58
